Time (s),Throttle (Ã‚Âµs),Rotation speed (rpm),Thrust (kgf),Voltage (V),Current (A),Electrical power (W),Propulsion system efficiency (gf/W),motor manufacturer,motor kv,propeller size(diameter),propeller size(pitch),propeller manufacturer,ESC manufacturer,ESC limit,
0.3152234,1000,0,7.66E-05,12.40324174,-0.00123764,0.015350748,,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
9.6670306,1200,4368,0.051029542,12.38498264,0.610604167,7.562322006,6.747866839,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
13.8418426,1250,5355,0.079464535,12.3696955,0.977990504,12.09744474,6.568704106,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
18.01753,1300,6254,0.110527105,12.35113651,1.400129248,17.29318748,6.391366861,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
22.0187252,1325,6687,0.12277055,12.33885816,1.614964133,19.92681336,6.161072931,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
25.959733,1350,7075,0.141723793,12.32357821,1.881601818,23.18806716,6.111927815,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
29.850437,1375,7434,0.161287166,12.30794997,2.165068788,26.64755833,6.052605795,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
33.7696008,1400,7812,0.182076044,12.2908397,2.501136138,30.74106333,5.922893496,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
37.6926556,1425,8164,0.198521554,12.27356396,2.791524819,34.26195843,5.794226697,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
41.5718474,1450,8488,0.214088926,12.25386498,3.101102679,38.0004935,5.633845927,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
45.4959898,1475,8783,0.230538238,12.2334727,3.423770154,41.88459869,5.504129096,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
49.411662,1500,9101,0.248666459,12.21344318,3.778280913,46.14581926,5.388710462,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
54.0779688,1600,10545,0.341740167,12.13217765,5.808624991,70.47127029,4.849354436,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
58.758551,1700,12083,0.461909172,12.00985136,8.784423518,105.4996207,4.378301733,T-motor,1950,6,3.5,HQProp,T-Motor,45-50,
0.2958056,1000,0,,12.01571431,0.005864088,0.07046121,6.947251,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
9.5465486,1200,4650,0.036009161,12.00211095,0.462185716,5.54720424,6.491407163,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
13.6715522,1250,5741,0.056768244,11.99056088,0.734996383,8.813018884,6.441407227,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
17.7984518,1300,6717,0.078587927,11.97680089,1.060069806,12.696245,6.189855902,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
21.9222268,1350,7602,0.104572101,11.95854282,1.459225828,17.45021456,5.992596864,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
26.0463614,1400,8464,0.133643161,11.93652124,1.888335844,22.54016091,5.929112994,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
30.6716278,1500,9999,0.189654267,11.89085209,2.910195847,34.60470836,5.480591408,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
35.3227174,1600,11649,0.268485965,11.8211921,4.637748164,54.82371196,4.897259884,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
39.9489552,1700,13132,0.351970306,11.72414965,6.878799951,80.64808002,4.364273839,MultiStar Elite,2150,6,4,APC,MultiStar Elite,30,
0.438431,1000,0,0.000734166,15.88920836,0.050772648,0.806737181,,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
10.8535786,1200,5400,0.048095459,15.86357082,0.77207691,12.24789674,3.926834118,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
15.894833,1300,7270,0.092722683,15.81630493,1.881715754,29.76179015,3.115494138,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
20.4456598,1350,8072,0.114166664,15.77935877,2.589650085,40.86301778,2.793887234,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
25.1244864,1400,8582,0.130175896,15.7291162,3.617982262,56.90766341,2.287493246,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
29.7624268,1450,8916,0.143262799,15.66896933,4.793177138,75.10414558,1.907521859,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
34.5178806,1500,9343,0.154158628,15.61375005,5.716258337,89.25222889,1.727224407,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
39.2394876,1550,9903,0.172242303,15.55969058,6.577991971,102.3515197,1.682850467,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
43.794743,1600,10433,0.190974523,15.50223124,7.544553781,116.9574173,1.632855162,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
48.332678,1650,10794,0.199880946,15.43503779,8.664418827,133.735632,1.494597538,PrimoPal,2280,7,3.5,DalProp,Hobbywing,40,
0.2961982,1000,0,,12.54874512,-0.003104156,0.038953257,,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
9.6238402,1200,4486,0.041582392,12.53200024,0.537920331,6.741217713,6.168379959,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
13.7498892,1250,5531,0.065061861,12.51921405,0.835066433,10.45437542,6.22340964,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
17.9128646,1300,6499,0.089740846,12.50393889,1.168823804,14.61490142,6.140366167,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
21.8002918,1325,6961,0.104417657,12.49234656,1.35115823,16.87913687,6.186196484,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
25.681022,1350,7391,0.115813641,12.48097119,1.546067268,19.29642103,6.001819772,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
29.60939,1375,7844,0.131071842,12.46818344,1.779539497,22.18762489,5.907430044,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
33.562996,1400,8256,0.145116307,12.45535802,1.972623079,24.56972668,5.906305299,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
37.4789502,1425,8671,0.161032538,12.44079409,2.238298405,27.84620956,5.78292486,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
41.3928084,1450,9097,0.176604352,12.42422256,2.49030028,30.94004492,5.707953978,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
45.329409,1475,9453,0.19427441,12.40486609,2.747958834,34.08806137,5.69919211,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
49.3132234,1500,9846,0.214027647,12.38612948,3.080668601,38.15756018,5.609049576,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
54.0195842,1600,11512,0.288474798,12.32529885,4.574250272,56.37900162,5.116706398,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
58.7523926,1700,13166,0.385374517,12.23409172,6.672788388,81.63550515,4.720672907,T-motor,1950,6,4.5,Master Airscrew,T-motor,45-50,
0.3020528,1000,0,-0.000583931,12.41351821,-0.006143911,0.07626755,,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
9.577031,1200,3613,0.053757496,12.39744185,0.54901792,6.806417736,7.898060007,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
13.7022082,1250,4388,0.083643793,12.38340944,0.901363475,11.16195297,7.493652172,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
17.8294292,1300,5115,0.117083298,12.3666271,1.318568078,16.30623973,7.180275756,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
21.9790158,1350,5734,0.147150391,12.34689835,1.755736513,21.67790025,6.788037081,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
26.1039378,1400,6370,0.184057939,12.32192102,2.301069351,28.35359482,6.491520382,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
30.729585,1500,7571,0.275836546,12.2662736,3.677456278,45.10868485,6.11493213,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
35.3547718,1600,8792,0.388019024,12.18172559,5.717278511,69.64631795,5.571278354,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
39.9806884,1700,9981,0.514171915,12.06665898,8.588298289,103.6320667,4.961513664,Lumenier,1700,6,4.2,Gemfan,EMAX,50,
0.298122,1000,0,0.000119226,22.20458612,0.027716039,0.615423166,,FL,400-450,13,4.5,,Hobbywing,50,
8.8175082,1475,3904,0.340245865,22.18246075,1.873482266,41.55844684,8.187165078,FL,400-450,13,4.5,,Hobbywing,50,
12.982004,1502,4165,0.384058397,22.17860195,2.15214868,47.73164891,8.046200084,FL,400-450,13,4.5,,Hobbywing,50,
17.0130848,1530,4392,0.436820627,22.17203268,2.520083715,55.8753785,7.817765865,FL,400-450,13,4.5,,Hobbywing,50,
21.0008086,1557,4618,0.49614766,22.16593774,2.935379416,65.06543736,7.625364249,FL,400-450,13,4.5,,Hobbywing,50,
24.9854512,1585,4870,0.538905799,22.16038728,3.303668414,73.21057151,7.361038007,FL,400-450,13,4.5,,Hobbywing,50,
29.1074896,1612,5070,0.598387671,22.15226147,3.732936443,82.69298414,7.236256824,FL,400-450,13,4.5,,Hobbywing,50,
33.1030468,1640,5274,0.644533145,22.14589641,4.25448579,94.21940158,6.840768822,FL,400-450,13,4.5,,Hobbywing,50,
37.1666042,1667,5531,0.715399898,22.1376997,4.970899834,110.0442878,6.501018018,FL,400-450,13,4.5,,Hobbywing,50,
41.2342374,1695,5744,0.785986386,22.12686855,5.693365749,125.9763555,6.239157997,FL,400-450,13,4.5,,Hobbywing,50,
45.4604798,1722,5921,0.792725445,22.12247873,5.957344607,131.7912294,6.015009111,FL,400-450,13,4.5,,Hobbywing,50,
49.5105536,1750,6043,0.83938444,22.11529686,6.352653711,140.4908227,5.974656735,FL,400-450,13,4.5,,Hobbywing,50,
0.3026946,1000,0,-3.38E-05,12.5442233,-0.000397016,0.004980254,,T-motor,3550,6,3,Gemfan,T-motor,30,
9.5774086,1200,6792,0.090667084,12.49129257,1.231880198,15.38777597,5.892150009,T-motor,3550,6,3,Gemfan,T-motor,30,
13.7007036,1250,7868,0.124183636,12.45767004,1.819982047,22.67273583,5.477223276,T-motor,3550,6,3,Gemfan,T-motor,30,
17.8500004,1300,8778,0.160069831,12.41491518,2.525945573,31.35940003,5.104365238,T-motor,3550,6,3,Gemfan,T-motor,30,
22.0043708,1350,9650,0.197887609,12.36542148,3.425485354,42.35757019,4.67183572,T-motor,3550,6,3,Gemfan,T-motor,30,
26.1566236,1400,10478,0.234671813,12.30791193,4.468622663,54.9994142,4.266805675,T-motor,3550,6,3,Gemfan,T-motor,30,
30.3060064,1450,11301,0.264666659,12.24101478,5.578781358,68.28994503,3.875631459,T-motor,3550,6,3,Gemfan,T-motor,30,
34.45656,1500,11849,0.297561113,12.17155394,6.756609424,82.23843605,3.618273003,T-motor,3550,6,3,Gemfan,T-motor,30,
38.5816672,1550,12518,0.323772471,12.09974119,7.932881428,95.98581214,3.373128419,T-motor,3550,6,3,Gemfan,T-motor,30,
42.7071274,1600,13127,0.360750953,12.01072929,9.416209793,113.0955467,3.189789194,T-motor,3550,6,3,Gemfan,T-motor,30,
47.3591312,1700,14655,0.441668733,11.81443794,13.21432288,156.1197975,2.829037313,T-motor,3550,6,3,Gemfan,T-motor,30,
0.3019318,1000,0,-0.000560242,8.03909209,0.005974292,0.048027882,,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
9.5783306,1200,6086,0.033128609,8.02971063,0.568403672,4.56411701,7.258492482,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
13.7037168,1250,7327,0.045546953,8.022692018,0.878892305,7.051082279,6.459569117,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
17.8541364,1300,7896,0.059657503,8.012430716,1.222799074,9.797592862,6.088995939,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
21.7553474,1325,8354,0.064989934,8.006174602,1.402545873,11.22902715,5.787672732,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
25.65583,1350,8355,0.073384637,7.999755595,1.622177971,12.9770273,5.654965154,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
29.5557208,1375,8899,0.081170438,7.993056252,1.848944549,14.77871779,5.492387026,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
33.4308476,1400,9007,0.086421531,7.986904664,2.060247106,16.45499722,5.251993034,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
37.306691,1425,9947,0.091659134,7.980568072,2.307313942,18.41367598,4.977774901,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
41.182809,1450,10113,0.100454448,7.972652813,2.57049509,20.49366491,4.901731736,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
45.0848804,1475,10711,0.1067169,7.964615924,2.883374791,22.96497278,4.646942153,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
48.9578454,1500,11963,0.118373089,7.955653431,3.235260822,25.73861386,4.599046761,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
53.0835112,1550,11480,0.138071476,7.937285471,4.01687419,31.88307715,4.330556771,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
57.2341928,1600,11983,0.156937753,7.916887675,4.860814343,38.48252116,4.078156751,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
61.3837022,1650,13332,0.176040378,7.892974676,5.862596645,46.27332685,3.804359658,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
65.5348696,1700,13908,0.195943425,7.865677352,7.002403499,55.07864661,3.5575207,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
69.6603234,1750,14900,0.218997972,7.832677715,8.251895406,64.63443726,3.388255263,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
73.786059,1800,15767,0.248904338,7.794048587,9.871142133,76.9361614,3.235206089,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
77.9109688,1850,16238,0.276050523,7.750605503,11.55294458,89.54231586,3.08290578,FlashHobby,4300,5,4,Gemfan,Hobbywing,20-30,
